"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Population ages 0-14, female","SP.POP.0014.FE.IN","11675","11852","11975","12060","12108","12106","12055","11897","11648","11386","11112","10822","10565","10352","10146","9945","9686","9395","9156","8972","8854","8841","8853","8838","8816","8740","8596","8411","8251","8259","8586","9259","9728","9833","9913","9912","9883","9922","10021","10159","10261","10274","10225","10139","10029","9969","10003","10078","10167","10250","10217","10048","9874","9742","9651","9588","9530","9463","9375","9260","9055","8765","8467","8178",
"Africa Eastern and Southern","AFE","Population ages 0-14, female","SP.POP.0014.FE.IN","28765531","29577569","30447286","31361859","32322992","33324518","34348687","35404985","36507830","37652800","38855516","40101366","41359100","42636965","43938870","45264941","46642994","48007529","49434267","50962082","52393761","53921603","55621350","57276563","58899311","60563555","62321673","64220068","66152803","68090099","70100974","72078913","74021016","76055432","77906927","79752557","81888069","83931791","85793275","87645983","89534869","91442189","93409474","95453666","97593748","99847759","102221204","104719417","107334253","110019190","112730998","115435803","118200295","121062307","123937797","126827523","129723054","132598014","135478622","138369074","141247235","144073803","146845798","149554090",
"Afghanistan","AFG","Population ages 0-14, female","SP.POP.0014.FE.IN","1785055","1821975","1860384","1901418","1947344","2001409","2061047","2122863","2187211","2253697","2322793","2392787","2464609","2540450","2617844","2693721","2765141","2835456","2903806","2926632","2825526","2533972","2299937","2275643","2349485","2418669","2410715","2387348","2406727","2479055","2490400","2510102","2826319","3294019","3650923","3897305","4081383","4266144","4457199","4663513","4748278","4795532","5120594","5521344","5736225","5906886","6107281","6274047","6424057","6579728","6723578","6875520","7038648","7200820","7369155","7532118","7684978","7840826","7999492","8161339","8332095","8500719","8662674","8840915",
"Africa Western and Central","AFW","Population ages 0-14, female","SP.POP.0014.FE.IN","20048725","20526495","21027036","21571701","22173697","22784784","23383197","23996593","24628384","25281369","25957545","26662888","27402223","28178422","29000496","29875354","30772437","31699688","32690273","33731747","34818537","35949647","37120120","38271468","39436259","40653519","41868666","43066741","44220291","45381125","46524237","47657721","48834195","49981889","51126976","52320488","53544012","54815615","56128038","57491738","58973126","60574562","62242427","63946100","65706553","67550006","69469827","71446683","73483668","75585444","77751199","79997810","82300443","84595204","86854084","89066038","91247205","93398305","95512175","97599606","99662713","101695998","103690228","105639818",
"Angola","AGO","Population ages 0-14, female","SP.POP.0014.FE.IN","1103930","1131459","1161788","1192735","1224103","1251547","1273095","1291195","1308505","1330519","1367362","1415215","1464458","1515405","1567728","1620912","1674674","1729874","1787312","1847280","1910285","1976754","2047131","2121336","2199915","2284069","2373734","2465990","2559845","2656202","2754185","2854584","2954771","3054824","3158342","3263741","3370096","3477802","3585015","3693105","3804201","3919726","4041036","4169438","4306964","4453610","4609390","4775138","4951191","5136898","5331989","5535135","5746216","5964778","6188257","6413935","6640280","6866649","7091845","7315375","7536609","7754958","7967519","8173074",
"Albania","ALB","Population ages 0-14, female","SP.POP.0014.FE.IN","317450","330972","344498","357596","370123","381384","391366","401013","411118","420920","428547","434805","440685","445205","448694","451754","454109","456240","457692","458874","460670","462889","466382","470653","475605","481149","486818","493504","500518","512431","520439","516092","511742","507265","502492","497264","490868","482747","472857","461429","448724","433499","419973","405376","389985","373753","356986","339764","323094","307732","294114","282772","273472","265812","258942","252378","247367","242897","237975","233101","228549","224390","220001","215440",
"Andorra","AND","Population ages 0-14, female","SP.POP.0014.FE.IN","1194","1308","1433","1568","1709","1845","2007","2214","2431","2627","2806","2978","3141","3295","3448","3597","3742","3881","4005","4095","4118","4078","4125","4258","4335","4344","4385","4484","4556","4599","4613","4620","4644","4679","4727","4788","4816","4816","4832","4848","4859","4971","5184","5383","5557","5676","5731","5733","5709","5680","5622","5611","5652","5639","5552","5423","5377","5293","5150","5078","5051","5052","5001","4873",
"Arab World","ARB","Population ages 0-14, female","SP.POP.0014.FE.IN","19858799","20464004","21071351","21703597","22354151","23023641","23729438","24469740","25213464","25963386","26729667","27513203","28326387","29172514","30037258","30977945","32058834","33120317","34082864","35146192","36287589","37364875","38458422","39619111","40785292","41923264","43083469","44231875","45254106","46225473","47473793","48158894","48949928","49834702","50704687","51427736","52036340","52543428","53031803","53524974","54013400","54493141","54980099","55480786","56011566","56600611","57194499","57812270","58606879","59549617","60579304","61706051","62979270","64475393","66017784","67443777","68739213","69935290","71098668","72212960","73227751","74115081","74877415","75520061",
"United Arab Emirates","ARE","Population ages 0-14, female","SP.POP.0014.FE.IN","22250","23432","24751","26164","27643","29199","30873","32682","35409","39384","43915","48725","53745","58889","64179","69677","77645","88908","101951","116526","131980","146989","161343","175675","189811","203394","218423","234229","248020","259991","270359","279368","287233","294039","299654","303926","312933","325581","335092","342380","348507","354600","361423","369129","377405","390328","412530","443104","478472","513608","537559","551586","565782","580713","596172","611365","625333","637694","648758","659140","671434","684255","693572","699228",
"Argentina","ARG","Population ages 0-14, female","SP.POP.0014.FE.IN","3126232","3160644","3194410","3228924","3264737","3300707","3335700","3370942","3407104","3446085","3489695","3539895","3596284","3660688","3736258","3814134","3892184","3973742","4056737","4141621","4227364","4312001","4394017","4472654","4546467","4614039","4674887","4729559","4778253","4819836","4857733","4892776","4923176","4951371","4978807","5004241","5026084","5044636","5062007","5081094","5100516","5116450","5128289","5136127","5141261","5144413","5144771","5142538","5137605","5132553","5093157","5106175","5123971","5145174","5166355","5187533","5209572","5227245","5234379","5231404","5220452","5204449","5186143","5162387",
