"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Population ages 15-64, male","SP.POP.1564.MA.IN","14443","14767","14967","15177","15414","15663","15917","16127","16265","16359","16432","16495","16703","17101","17563","18040","18463","18811","19100","19335","19509","19617","19795","20065","20322","20566","20781","20946","21068","21197","21407","21736","22314","23148","24064","25052","26082","27070","28019","28927","29724","30262","30612","30938","31242","31528","31809","32099","32402","32713","33139","33564","33837","34026","34139","34184","34183","34153","34102","34041","33970","34026","34072","33968",
"Africa Eastern and Southern","AFE","Population ages 15-64, male","SP.POP.1564.MA.IN","34097334","34947768","35840882","36749274","37696166","38669499","39644110","40656540","41725858","42833033","43962248","45139624","46355781","47654503","49076971","50547910","52026188","53520575","55166605","56924998","58712840","60501911","62255560","63985313","65699164","67417711","69352049","71511100","73560560","75622055","77826038","79993345","82008844","84009424","86229456","88626728","91005888","93461995","96144376","99020612","102037757","105192650","108451337","111789709","115225760","118728549","122339099","126083839","129917019","133816994","137847805","141992330","146258460","150721630","155372391","160338758","165208762","170036780","175229204","180640490","186284042","192036467","197877737","203925370",
"Afghanistan","AFG","Population ages 15-64, male","SP.POP.1564.MA.IN","2540269","2580143","2622120","2663599","2705032","2747227","2789513","2833897","2881155","2930853","2983967","3038451","3095190","3156767","3219665","3280477","3336007","3389882","3439579","3432361","3280290","2913063","2617324","2565475","2621069","2665856","2630179","2584447","2588283","2651905","2648305","2650263","2961160","3426859","3767371","3984164","4132045","4276806","4425046","4589307","4640905","4665654","4973410","5366533","5592642","5840098","6141740","6197579","6301399","6612672","6861560","7227756","7661288","8028459","8439813","8789878","9075174","9414493","9763360","10127343","10544398","10927876","11268607","11631642",
"Africa Western and Central","AFW","Population ages 15-64, male","SP.POP.1564.MA.IN","26835287","27345582","27863425","28378067","28862743","29380049","29951879","30533519","31132008","31756346","32423579","33126727","33855895","34625697","35436915","36289160","37170037","38079135","39014567","39977513","40956474","41962019","43020110","44012452","44978991","46042843","47179219","48404836","49768939","51232582","52671883","54159986","55781644","57450604","59154869","60953541","62794464","64667333","66630313","68620461","70635921","72688436","74800487","76999424","79268489","81582311","83923896","86330131","88808826","91366432","93994628","96685638","99403924","102197323","105170553","108274546","111518761","114921112","118422589","122015176","125756227","129610960","133562858","137678146",
"Angola","AGO","Population ages 15-64, male","SP.POP.1564.MA.IN","1446910","1459525","1466609","1472627","1476208","1479105","1481525","1482748","1485528","1494588","1512313","1543915","1593885","1654638","1719049","1784968","1851466","1921400","1995555","2071973","2151435","2233007","2315903","2399555","2482489","2564967","2646245","2723384","2800214","2881051","2964887","3052304","3141833","3229222","3320185","3426827","3546687","3673302","3802885","3933081","4069709","4213809","4365371","4528440","4702505","4884028","5072096","5267933","5470540","5680117","5899472","6129171","6367159","6611895","6862917","7119106","7386634","7666489","7951171","8243578","8535738","8831781","9138264","9454272",
"Albania","ALB","Population ages 15-64, male","SP.POP.1564.MA.IN","444484","455503","466619","478088","490546","504007","518296","533727","551560","571101","590159","609856","631192","653071","675842","699631","723693","748579","772970","796981","821281","844775","868787","892522","915798","938145","958824","979548","998389","1024606","1041121","1031820","1021644","1010895","999876","988921","978794","970054","963139","958126","954708","950104","953170","956612","960590","964664","968070","970360","972352","974822","978130","982134","985321","986499","985989","983654","981542","979771","976284","969954","961677","949439","933926","918767",
"Andorra","AND","Population ages 15-64, male","SP.POP.1564.MA.IN","3183","3442","3708","3987","4284","4593","4931","5327","5775","6260","6790","7362","7975","8627","9310","10009","10714","11419","12117","12807","13486","14163","14822","15469","16132","16804","17554","18388","19232","20070","20897","21683","22431","23170","23893","24598","24946","24934","24914","24887","24864","25495","26781","28092","29414","30725","30833","29758","28705","27661","26618","26119","26167","26181","26193","26216","26537","27171","27781","28388","28983","29534","29800","29806",
"Arab World","ARB","Population ages 15-64, male","SP.POP.1564.MA.IN","24745885","25272249","25846613","26455343","27101737","27780542","28484851","29235918","30051585","30916545","31806480","32723894","33675004","34672805","35755684","36914113","38220572","39651591","41075391","42648030","44352093","45982491","47622413","49347862","51096402","52857454","54679112","56513427","58256741","60053837","62202828","63960108","66038795","68320103","70741491","73128303","75564434","78101882","80695087","83342560","86058170","88785808","91534637","94292420","97055468","100139476","103814893","107910422","112011959","115891563","119263332","122040773","124714915","127496816","130251970","133108562","136111008","139042449","142001662","144929792","147202807","149375651","152250932","155443093",
"United Arab Emirates","ARE","Population ages 15-64, male","SP.POP.1564.MA.IN","50386","54711","59135","63594","68036","72446","76828","81160","93770","117907","146152","175846","206378","237334","268404","299364","341556","395872","451328","507204","562451","599621","620225","642010","664343","687500","725319","779954","839450","902357","967413","1033590","1100102","1166485","1232707","1299684","1383603","1488895","1602742","1721723","1843050","1964418","2084238","2202167","2318820","2512588","2953226","3664354","4483982","5218530","5539931","5545879","5562035","5586658","5616011","5644799","5667652","5681147","5684477","5679189","5679393","5690487","5710367","5739410",
"Argentina","ARG","Population ages 15-64, male","SP.POP.1564.MA.IN","6500068","6595158","6696795","6800274","6904132","7008914","7116476","7225978","7336152","7446175","7557265","7665498","7771225","7877272","7981967","8080623","8171917","8263376","8357257","8453136","8551414","8654890","8764393","8879260","8998695","9123545","9255948","9395577","9543299","9697900","9856380","10016600","10178403","10342108","10508413","10675050","10839208","11000016","11158886","11318532","11478301","11638654","11800768","11964379","12129834","12298546","12469974","12640487","12811739","12986332","13058510","13240577","13412950","13579584","13746255","13911426","14075232","14240976","14411209","14586325","14770305","14965150","15160008","15346624",
