"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Population ages 65 and above, female","SP.POP.65UP.FE.IN","783","829","871","912","952","995","1045","1100","1161","1228","1300","1376","1456","1545","1639","1734","1835","1938","2032","2107","2168","2262","2372","2447","2493","2515","2521","2521","2512","2494","2482","2491","2525","2587","2679","2790","2908","3032","3178","3342","3517","3709","3906","4099","4296","4498","4689","4870","5065","5280","5525","5803","6109","6432","6768","7119","7484","7865","8268","8694","9117","9512","9901","10350",
"Africa Eastern and Southern","AFE","Population ages 65 and above, female","SP.POP.65UP.FE.IN","2143516","2188138","2235230","2284501","2337275","2393382","2451790","2514569","2582792","2654726","2730510","2810763","2892931","2979072","3069881","3162380","3259600","3358338","3466079","3583889","3692489","3804200","3926447","4042190","4158640","4287648","4419846","4558167","4690207","4817712","4959151","5102905","5250562","5406860","5556834","5709238","5878418","6043036","6199420","6366162","6544253","6726542","6912917","7100908","7295091","7498794","7710129","7929917","8156619","8397777","8668531","8968009","9288875","9627177","9984075","10360405","10758179","11178403","11620087","12074988","12503161","12862901","13189363","13569877",
"Afghanistan","AFG","Population ages 65 and above, female","SP.POP.65UP.FE.IN","112259","114552","116914","119349","121849","124434","127142","129999","133018","136199","139546","143072","146767","150627","154573","158445","162129","165561","168436","168238","160681","142511","127644","124510","126319","127344","125045","122823","123220","126772","127085","127860","144159","168413","186836","199303","208408","217349","226413","236299","240135","242433","259565","280996","293046","304151","317538","325573","335468","350793","365229","383213","403298","421706","440162","454799","466990","482165","499182","517390","534863","549301","563354","580450",
"Africa Western and Central","AFW","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1732874","1773108","1818276","1863603","1908348","1951879","1993758","2033505","2073888","2116084","2158150","2198913","2241507","2288670","2340036","2395975","2458565","2527263","2598982","2672775","2740790","2805156","2876963","2948330","3021138","3101875","3184389","3270318","3363375","3458771","3550549","3641450","3733629","3824626","3913667","4004656","4097666","4192980","4288885","4383574","4482269","4586656","4696151","4809437","4924134","5041544","5163169","5288889","5418330","5552558","5691008","5829734","5965753","6093456","6208854","6340154","6498929","6669474","6852403","7048394","7237377","7403775","7585143","7806140",
"Angola","AGO","Population ages 65 and above, female","SP.POP.65UP.FE.IN","83720","84496","85523","86339","86793","86716","86021","84765","83241","82014","82004","83094","84513","86104","87806","89527","91231","93023","94967","97082","99358","101813","104483","107199","109968","112982","116236","119504","122966","127020","131680","137281","143602","150616","158766","167797","177538","187995","198893","210341","222343","234882","247899","261266","274863","288211","301249","314086","326686","339204","351898","364644","377474","389887","401361","413729","427553","442131","458116","475404","492732","509019","525740","546123",
"Albania","ALB","Population ages 65 and above, female","SP.POP.65UP.FE.IN","51820","53021","54304","55518","56598","57420","57967","58350","58838","59499","60209","61161","62459","63929","65521","67206","68850","70485","71988","73376","74972","76782","78885","81323","84156","87355","90753","94438","98215","102933","106912","108472","110196","112085","114073","116144","118314","120590","122999","125660","128738","132028","136835","142030","147447","152772","157707","162256","166511","170506","174546","178950","183667","188612","193943","199572","205599","211689","217760","224287","230308","234835","239483","245158",
"Andorra","AND","Population ages 65 and above, female","SP.POP.65UP.FE.IN","397","403","402","398","402","412","425","447","477","511","545","581","618","659","707","763","823","889","963","1050","1146","1249","1343","1432","1535","1653","1786","1938","2113","2304","2505","2684","2841","3002","3165","3335","3517","3699","3879","4055","4223","4364","4479","4595","4705","4799","4776","4638","4485","4313","4102","4059","4220","4394","4578","4759","4919","5083","5268","5474","5707","5942","6175","6428",
"Arab World","ARB","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1758001","1819093","1888389","1957499","2025241","2092233","2156600","2219122","2282811","2346497","2409747","2473558","2538462","2604411","2671273","2746074","2838118","2925324","2993417","3067957","3151045","3227198","3302832","3386184","3478388","3576383","3683334","3795952","3902739","4013935","4148072","4262220","4390529","4534890","4686918","4836217","5003427","5190713","5364690","5522481","5679919","5836379","5993863","6146258","6291570","6431872","6566075","6702603","6852840","7020948","7218028","7456811","7731776","8037716","8356618","8689569","9050929","9436218","9847445","10280789","10709876","11126899","11555638","12024964",
"United Arab Emirates","ARE","Population ages 65 and above, female","SP.POP.65UP.FE.IN","1582","1577","1570","1562","1543","1518","1492","1462","1563","1857","2231","2635","3049","3481","3957","4529","4963","5184","5370","5486","5567","5817","6237","6662","7082","7514","7890","8209","8543","8883","9222","9566","9929","10323","10747","11182","11542","11820","12087","12365","12651","12922","13159","13360","13527","13505","12733","11020","8911","7090","8108","11872","16137","20989","26514","32786","39879","47879","56878","66979","73813","77040","79813","82264",
"Argentina","ARG","Population ages 65 and above, female","SP.POP.65UP.FE.IN","566563","593462","621581","650704","680682","711405","743290","776259","809671","842790","876745","910831","944382","979153","1015718","1054250","1094388","1136885","1181165","1224849","1267062","1308788","1349718","1389534","1429216","1469073","1510444","1554132","1600108","1648236","1697624","1749577","1803271","1855950","1906343","1953666","1998246","2039571","2078671","2117080","2155062","2193209","2233296","2270362","2306446","2347855","2391766","2435473","2480413","2528571","2557313","2610493","2668816","2728795","2785951","2842695","2898113","2953457","3013399","3077184","3140206","3197398","3253654","3317892",
