"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Population ages 65 and above, male","SP.POP.65UP.MA.IN","513","545","581","619","658","698","743","798","864","936","1010","1091","1169","1244","1323","1401","1476","1544","1602","1650","1693","1748","1807","1850","1877","1890","1895","1915","1949","1966","1957","1933","1939","1992","2065","2145","2232","2336","2442","2540","2648","2776","2909","3040","3181","3330","3477","3627","3782","3944","4117","4306","4514","4736","4973","5234","5520","5825","6152","6496","6803","7048","7281","7564",
"Africa Eastern and Southern","AFE","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1741407","1775143","1810703","1848832","1892097","1940928","1993637","2051680","2115360","2182210","2251089","2322960","2396107","2472606","2553215","2634867","2719827","2805417","2899156","3001934","3095524","3187937","3286722","3377791","3464813","3556004","3651504","3759322","3856802","3942316","4036461","4136475","4229873","4312082","4386712","4459546","4543440","4631924","4720836","4817061","4928110","5050748","5178167","5308624","5446243","5593955","5749991","5913076","6081885","6263506","6467887","6693398","6935926","7190881","7456996","7732736","8012498","8301785","8606531","8918914","9192275","9388703","9555010","9774629",
"Afghanistan","AFG","Population ages 65 and above, male","SP.POP.65UP.MA.IN","132017","133126","134135","135134","136263","137579","139109","140893","142852","144834","146808","148801","150816","152937","155234","157629","160015","162341","164187","162937","154550","136143","121015","117131","117698","117272","113975","111022","110633","113325","113182","113494","127606","148782","164634","175015","182357","189388","196318","203924","206385","207422","221096","238463","247897","257162","268256","271683","277012","288735","298195","311127","325455","336319","348024","357248","363928","373212","383903","395783","407078","414713","421409","431253",
"Africa Western and Central","AFW","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1478221","1511769","1550887","1590913","1629902","1667806","1705248","1740658","1775884","1812987","1850896","1888246","1927302","1971062","2019735","2072865","2129129","2188526","2251036","2315391","2373717","2429493","2493993","2558537","2623394","2694408","2767168","2841152","2916391","2994169","3069911","3144145","3220050","3294017","3365526","3438317","3512486","3588364","3667631","3748007","3831808","3920454","4014164","4112518","4213140","4316790","4425201","4538722","4659422","4788399","4921756","5055217","5184834","5299767","5397946","5510094","5647509","5794893","5952008","6119793","6267919","6383027","6518187","6698956",
"Angola","AGO","Population ages 65 and above, male","SP.POP.65UP.MA.IN","81284","83875","85509","87110","88684","90231","91701","93042","94258","95355","96031","96649","97720","98877","99880","100598","101014","101270","101488","101759","102132","102655","103399","104225","105145","106379","107952","109545","111270","113520","116217","119653","123550","127669","132582","138591","145468","152858","160331","167804","175467","183255","191155","199317","207537","215482","223241","230904","238698","246791","255272","264207","273600","283025","292249","302633","314679","327904","342341","358024","373057","386171","399593","416654",
"Albania","ALB","Population ages 65 and above, male","SP.POP.65UP.MA.IN","36488","37049","37779","38569","39339","39964","40386","40723","41149","41680","42232","42914","43818","44869","46070","47411","48789","50243","51678","53109","54719","56476","58443","60629","63069","65707","68461","71459","74521","78327","81669","83358","85414","87835","90622","93729","97089","100678","104499","108556","112885","117235","122748","128491","134314","139941","145157","150089","154804","159287","163788","168599","173690","178886","184476","190286","196230","202121","207906","213847","218700","221617","223146","224802",
"Andorra","AND","Population ages 65 and above, male","SP.POP.65UP.MA.IN","245","255","263","274","287","302","324","353","391","435","484","533","585","642","705","778","857","940","1029","1128","1233","1342","1448","1554","1663","1780","1909","2052","2213","2388","2576","2731","2860","3013","3184","3373","3557","3726","3889","4039","4183","4289","4360","4449","4549","4651","4619","4424","4189","3922","3640","3566","3715","3902","4090","4272","4461","4652","4866","5094","5322","5546","5773","6024",
"Arab World","ARB","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1497300","1540694","1591217","1642331","1693962","1746341","1793148","1834150","1875454","1916749","1957650","1999015","2041913","2086367","2132043","2190101","2270251","2343649","2396656","2456299","2523622","2585933","2648313","2715657","2789888","2871486","2962941","3060584","3153430","3253289","3374102","3481263","3600572","3729321","3860918","3988527","4142903","4327787","4488281","4620829","4748470","4869502","4987456","5097622","5202823","5308804","5415157","5526543","5649373","5790633","5954545","6144205","6364324","6613019","6876906","7152108","7438055","7753265","8110204","8492113","8857445","9204949","9578622","10004379",
"United Arab Emirates","ARE","Population ages 65 and above, male","SP.POP.65UP.MA.IN","1493","1507","1528","1552","1578","1610","1641","1666","1789","2062","2422","2834","3304","3857","4526","5380","6055","6408","6667","6798","6842","7057","7461","7834","8155","8440","8748","9109","9509","9952","10446","11000","11612","12255","12876","13402","13904","14476","15120","15876","16748","17676","18542","19219","19588","19595","18162","14443","9831","6639","6819","9370","12552","16495","21357","27311","34582","43512","54603","68526","79797","87638","92861","95280",
"Argentina","ARG","Population ages 65 and above, male","SP.POP.65UP.MA.IN","485565","504462","523471","542465","561798","581622","602680","624413","645362","664831","684758","705313","725396","745606","765830","786223","806596","827462","849355","871285","892545","913036","932480","951690","971134","992442","1017272","1044939","1075407","1107896","1141733","1177034","1212567","1246772","1282042","1317062","1349225","1377845","1404102","1430573","1456338","1481062","1504604","1527170","1551937","1579800","1609706","1638803","1669366","1705901","1731078","1772991","1816834","1861029","1905775","1950337","1992734","2037017","2085562","2135975","2181333","2218069","2256765","2308456",
