CName,Ccode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,3727.04801,3787.470679,2919.283511,3454.296334,3492.691474,4005.201258,2382.335862,4330.968191,5730.72381,6815.32933,6957.417499,7464.474737,7383.70451,7690.157003,8176.771195,8250.673174,7735.32208,7666.517834,7168.975872,2579.488769,3333.152904,4258.160261,5086.627761,5890.978002,7210.595548,8977.506851,8184.389889,10385.96443,12848.73915,13082.66433,13080.25473,12334.79825,13789.06042,12790.26414,14613.03565,11795.16275,9963.674162,8500.837939,10650.86046,13650.60463,13730.51471
Australia,AUS,1810.597443,1877.600224,1854.64189,1967.108991,2131.3803,2281.011956,2343.81979,2580.110592,2724.130672,2991.385947,3304.83782,3495.141627,3949.372987,4770.618658,6482.831082,7003.74418,7486.592781,7775.496821,8252.655904,9294.359247,10208.65201,11853.51382,12778.92792,11515.62292,12421.47387,11441.1933,11391.65505,11650.80119,14284.52069,17834.21056,18248.94071,18859.40796,18623.79174,17699.55774,18129.40219,20448.12197,22021.78391,23646.62305,21479.1142,20712.66978,21870.41597,19695.72974,20301.84317,23718.13385,30836.73068,34479.76793,36595.70715,41051.61207,49701.28178,42816.5674,52147.02419,62609.66072,68078.04423,68198.41934,62558.24388,56758.8692,49918.79393,53954.55349,57273.52048,55049.57192,51868.24756,60697.24544,65077.67667,64711.7656
China,CHN,89.52021424,75.80556079,70.90915243,74.31337177,85.49824259,98.4864177,104.3241848,96.58917883,91.4723839,100.1295372,113.1625778,118.654144,131.8855585,157.0891109,160.1476879,178.3396141,165.4042624,185.4205374,156.3963885,183.9831522,194.8047222,197.0714745,203.3349195,225.4319289,250.713969,294.4588485,281.9281209,251.811957,283.5376952,310.8819124,317.884673,333.1421454,366.4606923,377.3898395,473.4899164,609.6043379,709.4158882,781.7425612,828.594691,873.2923363,959.3604314,1053.112314,1148.514257,1288.637491,1508.667916,1753.414192,2099.21943,2693.958732,3468.327063,3832.227457,4550.473944,5614.386022,6300.58218,7020.386074,7636.07434,8016.445595,8094.390167,8817.045608,9905.406383,10143.86022,10408.71955,12617.5051,12662.58317,12614.06099
Germany,DEU,1157.880464,1311.104298,1425.298992,1496.671075,1631.477873,1767.722168,1863.976228,1878.732727,2017.689251,2272.948428,2761.166833,3192.133616,3809.981445,5046.755103,5639.077621,6236.358881,6634.856899,7682.953775,9482.04285,11281.02332,12138.3081,10209.07312,9913.737642,9864.34494,9313.169412,9429.569217,13461.831,16677.51079,17931.28232,17764.37645,22303.96133,23357.75773,26438.23039,25522.62957,27076.60675,31658.34938,30485.86655,26964.04947,27289.05936,26734.94254,23694.76048,23628.32721,25197.2656,30310.3576,34106.65812,34520.23965,36353.88033,41640.08087,45612.71062,41650.36783,41572.45595,46705.8958,43855.85447,46298.92292,48023.86998,41103.25644,42136.12079,44652.58917,47939.27829,46805.13843,46749.47623,51426.75037,48717.99114,52745.75571
"Egypt, Arab Rep.",EGY,,,,,,160.5747365,166.9561122,172.9638574,178.657108,191.918574,231.2174024,242.1332786,255.971414,272.0453531,243.3132672,299.9871999,335.8463339,354.8976152,356.2506611,422.696046,495.3285356,493.0131759,600.0430521,653.9354412,697.8979337,780.5105282,802.2179694,765.6057309,644.2196325,712.914876,751.1874902,637.8975973,697.7260405,758.8296192,826.7189671,937.5431501,1031.488078,1170.804798,1239.353562,1297.57469,1398.859831,1327.096518,1144.532398,1056.937209,1016.253884,1133.105461,1332.33941,1586.472921,1941.899973,2212.218148,2509.772034,2645.622535,3059.135428,3088.890834,3196.861381,3370.382447,3331.612461,2439.967284,2531.200079,3017.258336,3571.556907,3886.722498,4295.407496,3512.580065
India,IND,83.03510182,85.96970419,90.27686893,101.315165,115.4876084,119.0849767,89.20134849,96.04632985,99.51683612,107.1821431,111.9683182,118.1605289,122.6150388,143.4601571,163.2327617,157.9310458,161.1361184,186.4190895,206.0767879,224.5809991,267.39522,271.4261492,275.2660859,292.6446472,278.0954152,297.9992487,312.0598439,342.0719237,355.7384098,347.46203,368.7497594,303.850438,317.5587387,301.5007912,346.2266102,373.6282357,399.5773122,414.8986797,412.5093541,440.9620652,442.0353304,449.9103137,468.8455131,543.8450534,624.108803,710.5112225,802.013742,1022.732467,993.5034053,1096.636136,1350.63447,1449.603301,1434.017987,1438.057005,1559.863779,1590.174331,1714.279537,1957.969813,1974.377731,2050.1638,1915.551588,2250.179018,2366.309609,2484.845429
Japan,JPN,508.7027793,608.8645811,684.5655098,775.5921231,902.8677215,993.7327222,1143.607897,1326.361039,1553.271394,1802.980281,2100.74807,2321.390925,3031.438606,4061.01339,4448.319656,4775.899536,5310.431409,6472.787787,9012.136035,9301.14831,9668.746264,10583.12789,9779.974906,10652.01472,11207.45235,11809.46035,17451.83494,21141.7184,25499.88117,25265.94876,25801.39504,29428.4289,31992.79021,36345.24413,39933.51506,44197.6191,39150.03963,35638.23196,32423.75561,36610.16832,39169.35957,34406.18246,32820.79364,35387.03742,38298.98017,37812.89502,35991.546,35779.02454,39876.30397,41308.99684,44968.15623,48760.07895,49145.28043,40898.6479,38475.39525,34960.63938,39375.47316,38834.05293,39751.1331,40415.95676,40040.76551,40058.53733,34017.27181,33834.39211
Russian Federation,RUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3778.019775,3429.649902,3494.063232,3490.452393,3098.802734,2930.670166,2662.104004,2665.779785,2643.929199,2737.572021,1834.861816,1330.757202,1771.594116,2100.352539,2377.529541,2975.123047,4102.364746,5323.455078,6920.199707,9101.239258,11635.28418,8562.824219,10674.99023,14305.33203,15401.85156,15941.44824,14055.47266,9277.713867,8663.158203,10658.91309,11211.8877,11447.70117,10108.32715,12521.52246,15445.24219,13817.0459
Turkiye,TUR,275.0416985,282.7424641,307.3062858,347.1770906,365.1338692,381.4133432,438.2586089,473.6938271,516.4668063,560.6437496,502.6206744,444.6283219,555.286129,683.7024994,911.2498518,1160.541739,1270.339098,1417.963106,1558.502292,2075.049003,1561.014686,1582.419075,1400.856099,1314.230362,1245.928788,1367.195496,1506.714127,1701.264841,1738.376445,2009.69367,2773.269759,2730.143381,2825.915037,3148.83644,2240.60879,2855.040554,3009.670164,3098.668013,4433.358285,4057.821274,4278.263113,3100.458999,3640.762836,4704.772663,6031.791367,7369.431889,8003.814493,9711.223761,10843.50369,9012.999458,10622.70204,11300.78522,11713.28498,12578.18786,12165.22014,11049.99511,10970.04589,10695.5502,9568.83619,9215.440875,8638.739133,9743.213131,10674.50417,12985.75315
United States,USA,2999.864872,3059.160821,3236.013112,3366.36979,3565.31443,3818.288251,4136.308296,4325.959351,4684.588403,5019.998186,5234.296666,5609.3826,6094.01799,6726.358956,7225.69136,7801.456664,8592.253537,9452.576519,10564.94822,11674.18187,12574.79151,13976.10539,14433.78773,15543.89372,17121.22548,18236.82773,19071.22719,20038.9411,21417.01193,22857.15443,23888.60001,24342.2589,25418.99078,26387.29373,27694.85342,28690.8757,29967.71272,31459.12997,32853.67259,34515.38131,36329.97026,37133.6204,37997.74243,39490.30239,41724.6412,44123.39965,46301.98765,48050.22741,48570.05943,47194.95009,48650.66432,50065.97895,51784.41147,53409.75078,55304.31553,57040.20821,58206.61419,60322.26142,63201.04585,65548.07078,64317.39891,71055.87619,77246.67388,81695.18707
