Country1,Country2,Trade Volume (Million USD)
USA,China,500
USA,Canada,300
USA,Mexico,200
China,Japan,450
China,Germany,350
Japan,South Korea,400
Japan,Germany,250
Germany,UK,300
UK,France,200
France,Italy,250
Italy,Spain,180
Canada,Mexico,100
Japan,Germany,412
Russia,Japan,513
Germany,France,318
India,Italy,317
Australia,USA,162
South Korea,Germany,522
China,Italy,105
Spain,China,122
Japan,Germany,560
Japan,UK,241
UK,Spain,527
USA,Italy,157
UK,Italy,584
USA,Brazil,322
Russia,Japan,384
Australia,China,69
China,Japan,73
China,Spain,232
Italy,UK,283
Spain,France,334
UK,France,407
China,Canada,461
Brazil,India,357
South Korea,Russia,211
Brazil,Italy,59
China,Spain,584
Spain,France,398
Mexico,Germany,445
Italy,Mexico,65
Japan,France,203
USA,Japan,278
Australia,USA,509
Japan,Russia,156
Brazil,Mexico,71
Mexico,Canada,125
UK,Brazil,248
Russia,USA,259
Germany,Russia,589
South Korea,Canada,97
Russia,Mexico,90
India,Japan,241
China,USA,525
Russia,Germany,118
South Korea,Italy,264
India,Russia,258
Australia,Russia,416
Canada,USA,131
USA,India,318
Canada,Brazil,348
Spain,USA,54
